phase0,phase1,phase2,phase3,q_right,q_down,q_left,q_up,avg_wait_right,avg_wait_down,avg_wait_left,avg_wait_up,max_wait_right,max_wait_down,max_wait_left,max_wait_up,action
0.0,0.0,0.0,1.0,0.45,0.15,0.2,0.05,0.7079320987659334,0.3102777777780247,0.3149305555558062,0.0,1.0,0.4269444444447842,0.7441666666672588,0.0,0
0.0,0.0,1.0,0.0,0.05,0.1,0.1,0.05,0.015555555555567934,0.6763888888894272,0.0,0.9680555555562534,0.015555555555567934,0.7516666666672649,0.0,0.9680555555562534,1
0.0,1.0,0.0,0.0,0.15,0.0,0.25,0.45,0.07740740740746901,0.0,0.07488888888894848,0.7680246913585834,0.23222222222240702,0.0,0.1641666666667973,1.0,3
0.0,0.0,0.0,1.0,0.15,0.35,0.05,0.0,0.5525000000004396,0.3253571428574018,0.5350000000004258,0.0,0.8288888888895485,0.968333333334104,0.5350000000004258,0.0,1
0.0,0.0,0.0,1.0,0.35,0.1,0.2,0.0,0.7544841269846986,0.10000000000007958,0.4461111111114661,0.0,1.0,0.20000000000015916,0.7288888888894689,0.0,0
1.0,0.0,0.0,0.0,0.0,0.2,0.3,0.1,0.0,0.5310416666670893,0.43606481481516185,0.1669444444445773,0.0,0.8102777777784226,1.0,0.3338888888891546,2
0.0,0.0,0.0,1.0,0.25,0.15,0.3,0.0,0.3077222222224671,0.028425925925948548,0.4065740740743976,0.0,0.6488888888894053,0.04333333333336782,0.5808333333337956,0.0,2
0.0,1.0,0.0,0.0,0.25,0.0,0.4,0.1,0.5819444444449076,0.0,0.5506250000004382,0.07819444444450667,1.0,0.0,1.0,0.15638888888901334,2
0.0,0.0,1.0,0.0,0.0,0.2,0.1,0.1,0.0,0.847708333334008,0.0,0.4422222222225741,0.0,1.0,0.0,0.6505555555560733,1
1.0,0.0,0.0,0.0,0.05,0.2,0.25,0.05,0.0,0.3220833333335896,0.6640000000005285,0.06472222222227372,0.0,0.5333333333337578,1.0,0.06472222222227372,2
0.0,1.0,0.0,0.0,0.05,0.05,0.15,0.15,0.0,0.0,0.15750000000012535,0.4725925925929687,0.0,0.0,0.23722222222241102,0.9172222222229521,2
0.0,0.0,1.0,0.0,0.3,0.35,0.35,0.05,0.5343518518522771,0.22071428571446136,0.54293650793694,0.04000000000003183,0.9822222222230039,0.3766666666669664,1.0,0.04000000000003183,1
0.0,0.0,1.0,0.0,0.1,0.3,0.05,0.1,0.237916666666856,0.47162037037074567,0.0,0.1906944444445962,0.30388888888913074,0.8500000000006764,0.0,0.3813888888891924,1
0.0,0.0,1.0,0.0,0.3,0.0,0.05,0.15,0.8265277777784354,0.0,0.0,0.2498148148150136,1.0,0.0,0.0,0.5230555555559718,0
0.0,0.0,1.0,0.0,0.05,0.25,0.0,0.3,0.08638888888895764,0.49900000000039707,0.0,0.3519907407410209,0.08638888888895764,0.9333333333340761,0.0,1.0,3
0.0,1.0,0.0,0.0,0.4,0.05,0.35,0.05,0.7125347222226495,0.0,0.8698412698418194,0.4066666666668477,1.0,0.0,1.0,0.4066666666668477,0
0.0,1.0,0.0,0.0,0.1,0.0,0.2,0.2,0.5545833333336321,0.0,0.060000000000012106,0.2459722222223333,0.6205555555559068,0.0,0.24000000000004842,0.6980555555559685,2
1.0,0.0,0.0,0.0,0.0,0.5,0.2,0.25,0.0,0.3723055555556793,0.2968055555556133,0.3752222222223613,0.0,0.6511111111114298,0.43944444444459757,0.8397222222226911,1
0.0,0.0,0.0,1.0,0.45,0.4,0.0,0.0,0.8187037037040225,0.7535763888890334,0.0,0.0,1.0,1.0,0.0,0.0,0
